# 05_IMPORTS_STRATIFIED.txt
# Temporal and architectural classification
# Format: <module>|<era>|<module_reality>|<symbol_reality>

networkx.generators.trees|ERA_UNKNOWN|DEAD|N/A
networkx.generators.triads|ERA_UNKNOWN|DEAD|N/A
networkx.utils.misc|ERA_UNKNOWN|DEAD|N/A
..utils.misc|ERA_UNKNOWN|DEAD|N/A
.classic|ERA_UNKNOWN|DEAD|N/A
.degree_seq|ERA_UNKNOWN|DEAD|N/A
numpy.lib|ERA_UNKNOWN|DEAD|N/A
networkx.linalg.attrmatrix|ERA_UNKNOWN|DEAD|N/A
networkx.linalg.spectrum|ERA_UNKNOWN|DEAD|N/A
networkx.linalg.graphmatrix|ERA_UNKNOWN|DEAD|N/A
networkx.linalg.laplacianmatrix|ERA_UNKNOWN|DEAD|N/A
networkx.linalg.algebraicconnectivity|ERA_UNKNOWN|DEAD|N/A
networkx.linalg.modularitymatrix|ERA_UNKNOWN|DEAD|N/A
networkx.linalg.bethehessianmatrix|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.adjlist|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.multiline_adjlist|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.edgelist|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.pajek|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.leda|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.sparse6|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.graph6|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.gml|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.graphml|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.gexf|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.json_graph|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.text|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.json_graph.node_link|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.json_graph.adjacency|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.json_graph.tree|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.json_graph.cytoscape|ERA_UNKNOWN|DEAD|N/A
networkx.readwrite.p2g|ERA_UNKNOWN|DEAD|N/A
networkx.utils.random_sequence|ERA_UNKNOWN|DEAD|N/A
networkx.utils.union_find|ERA_UNKNOWN|DEAD|N/A
networkx.utils.rcm|ERA_UNKNOWN|DEAD|N/A
networkx.utils.heaps|ERA_UNKNOWN|DEAD|N/A
networkx.utils.configs|ERA_UNKNOWN|DEAD|N/A
networkx.utils.backends|ERA_UNKNOWN|DEAD|N/A
.configs|ERA_UNKNOWN|DEAD|N/A
.backends|ERA_UNKNOWN|DEAD|N/A
networkx.classes.tests.dispatch_interface|ERA_UNKNOWN|DEAD|N/A
numba.misc.init_utils|ERA_UNKNOWN|DEAD|N/A
numba.core|ERA_UNKNOWN|DEAD|N/A
numba.misc.special|ERA_UNKNOWN|DEAD|N/A
numba.core.errors|ERA_UNKNOWN|DEAD|N/A
numba.core.types|ERA_UNKNOWN|DEAD|N/A
numba.core.decorators|ERA_UNKNOWN|DEAD|N/A
numba.np.ufunc|ERA_UNKNOWN|DEAD|N/A
numba.np.numpy_support|ERA_UNKNOWN|DEAD|N/A
numba.core.withcontexts|ERA_UNKNOWN|DEAD|N/A
numba.core.target_extension|ERA_UNKNOWN|DEAD|N/A
numba.typed|ERA_UNKNOWN|DEAD|N/A
numba.testing|ERA_UNKNOWN|DEAD|N/A
numba.misc.numba_entry|ERA_UNKNOWN|DEAD|N/A
.controlflow|ERA_UNKNOWN|DEAD|N/A
numba.misc|ERA_UNKNOWN|DEAD|N/A
numba.core.ir_utils|ERA_UNKNOWN|DEAD|N/A
pygments|ERA_UNKNOWN|DEAD|N/A
pygments.formatters|ERA_UNKNOWN|DEAD|N/A
numba.core.dispatcher|ERA_UNKNOWN|DEAD|N/A
numba.core.compiler_lock|ERA_UNKNOWN|DEAD|N/A
numba.core.pythonapi|ERA_UNKNOWN|DEAD|N/A
numba.core.imputils|ERA_UNKNOWN|DEAD|N/A
numba.cpython|ERA_UNKNOWN|DEAD|N/A
numba.core.runtime.context|ERA_UNKNOWN|DEAD|N/A
numba.np|ERA_UNKNOWN|DEAD|N/A
numba.core.typing.typeof|ERA_UNKNOWN|DEAD|N/A
numba.core.utils|ERA_UNKNOWN|DEAD|N/A
numba.core.controlflow|ERA_UNKNOWN|DEAD|N/A
numba.core.ir|ERA_UNKNOWN|DEAD|N/A
numba.misc.appdirs|ERA_UNKNOWN|DEAD|N/A
numba.core.base|ERA_UNKNOWN|DEAD|N/A
numba.core.codegen|ERA_UNKNOWN|DEAD|N/A
numba.core.compiler|ERA_UNKNOWN|DEAD|N/A
numba.core.serialize|ERA_UNKNOWN|DEAD|N/A
IPython.paths|ERA_UNKNOWN|DEAD|N/A
IPython.utils.path|ERA_UNKNOWN|DEAD|N/A
numba.core.caching|ERA_UNKNOWN|DEAD|N/A
numba.core.typing|ERA_UNKNOWN|DEAD|N/A
numba.core.typing.ctypes_utils|ERA_UNKNOWN|DEAD|N/A
numba.core.datamodel|ERA_UNKNOWN|DEAD|N/A
numba.core.llvm_bindings|ERA_UNKNOWN|DEAD|N/A
numba.core.runtime.nrtopt|ERA_UNKNOWN|DEAD|N/A
numba.core.runtime|ERA_UNKNOWN|DEAD|N/A
numba.misc.inspection|ERA_UNKNOWN|DEAD|N/A
numba.misc.llvm_pass_timings|ERA_UNKNOWN|DEAD|N/A
numba.misc.dump_style|ERA_UNKNOWN|DEAD|N/A
elftools.elf.elffile|ERA_UNKNOWN|DEAD|N/A
elftools.elf|ERA_UNKNOWN|DEAD|N/A
numba.core.tracing|ERA_UNKNOWN|DEAD|N/A
numba.parfors.parfor|ERA_UNKNOWN|DEAD|N/A
numba.core.environment|ERA_UNKNOWN|DEAD|N/A
numba.core.compiler_machinery|ERA_UNKNOWN|DEAD|N/A
numba.core.untyped_passes|ERA_UNKNOWN|DEAD|N/A
numba.core.typed_passes|ERA_UNKNOWN|DEAD|N/A
numba.core.object_mode_passes|ERA_UNKNOWN|DEAD|N/A
numba.core.targetconfig|ERA_UNKNOWN|DEAD|N/A
numba.core.inline_closurecall|ERA_UNKNOWN|DEAD|N/A
numba.core.event|ERA_UNKNOWN|DEAD|N/A
numba.core.postproc|ERA_UNKNOWN|DEAD|N/A
cuda  # noqa: F401|ERA_UNKNOWN|DEAD|N/A
numba.core.callwrapper|ERA_UNKNOWN|DEAD|N/A
numba.core.options|ERA_UNKNOWN|DEAD|N/A
numba.core.entrypoints|ERA_UNKNOWN|DEAD|N/A
numba.core.cpu_options|ERA_UNKNOWN|DEAD|N/A
numba.np.random|ERA_UNKNOWN|DEAD|N/A
numba.np.polynomial|ERA_UNKNOWN|DEAD|N/A
numba.experimental|ERA_UNKNOWN|DEAD|N/A
numba.experimental.jitclass.base|ERA_UNKNOWN|DEAD|N/A
numba.np.unsafe|ERA_UNKNOWN|DEAD|N/A
.manager|ERA_UNKNOWN|DEAD|N/A
.packer|ERA_UNKNOWN|DEAD|N/A
numba.core.datamodel.registry|ERA_UNKNOWN|DEAD|N/A
numba.core.datamodel.models|ERA_UNKNOWN|DEAD|N/A
numba.stencils.stencil|ERA_UNKNOWN|DEAD|N/A
numba.core.ccallback|ERA_UNKNOWN|DEAD|N/A
numba.core.typeconv.rules|ERA_UNKNOWN|DEAD|N/A
numba.core.typing.templates|ERA_UNKNOWN|DEAD|N/A
numba.core.bytecode|ERA_UNKNOWN|DEAD|N/A
numba.core.annotations.pretty_annotate|ERA_UNKNOWN|DEAD|N/A
numba.core.config|ERA_UNKNOWN|DEAD|N/A
numba.core.typing.asnumbatype|ERA_UNKNOWN|DEAD|N/A
numba._helperlib|ERA_UNKNOWN|DEAD|N/A
llvmlite.ir.transforms|ERA_UNKNOWN|DEAD|N/A
numba.core.funcdesc|ERA_UNKNOWN|DEAD|N/A
numba.core.analysis|ERA_UNKNOWN|DEAD|N/A
numba.core.extending|ERA_UNKNOWN|DEAD|N/A
numba.cpython.listobj|ERA_UNKNOWN|DEAD|N/A
numba.cpython.rangeobj|ERA_UNKNOWN|DEAD|N/A
numba.np.arrayobj|ERA_UNKNOWN|DEAD|N/A
numba.np.unsafe.ndarray|ERA_UNKNOWN|DEAD|N/A
numba.core.ssa|ERA_UNKNOWN|DEAD|N/A
numba.typed.listobject|ERA_UNKNOWN|DEAD|N/A
numba.core.byteflow|ERA_UNKNOWN|DEAD|N/A
numba.core.unsafe|ERA_UNKNOWN|DEAD|N/A
numba.cpython.unsafe.tuple|ERA_UNKNOWN|DEAD|N/A
numba.parfors|ERA_UNKNOWN|DEAD|N/A
numba.core.registry|ERA_UNKNOWN|DEAD|N/A
numba.np.linalg|ERA_UNKNOWN|DEAD|N/A
numba.misc.firstlinefinder|ERA_UNKNOWN|DEAD|N/A
numba.misc.coverage_support|ERA_UNKNOWN|DEAD|N/A
numba.experimental.function_type|ERA_UNKNOWN|DEAD|N/A
numba.core.lowering|ERA_UNKNOWN|DEAD|N/A
numba.core.boxing|ERA_UNKNOWN|DEAD|N/A
numba.core.descriptors|ERA_UNKNOWN|DEAD|N/A
numba.core.rewrites|ERA_UNKNOWN|DEAD|N/A
.nrt|ERA_UNKNOWN|DEAD|N/A
numba.core.runtime.nrtdynmod|ERA_UNKNOWN|DEAD|N/A
.castgraph|ERA_UNKNOWN|DEAD|N/A
.typeconv|ERA_UNKNOWN|DEAD|N/A
numba.core.typeconv|ERA_UNKNOWN|DEAD|N/A
numba.parfors.parfor_lowering|ERA_UNKNOWN|DEAD|N/A
numba.core.annotations|ERA_UNKNOWN|DEAD|N/A
numba.np.ufunc.parallel|ERA_UNKNOWN|DEAD|N/A
.abstract|ERA_UNKNOWN|DEAD|N/A
.containers|ERA_UNKNOWN|DEAD|N/A
.iterators|ERA_UNKNOWN|DEAD|N/A
.misc|ERA_UNKNOWN|DEAD|N/A
.npytypes|ERA_UNKNOWN|DEAD|N/A
.scalars|ERA_UNKNOWN|DEAD|N/A
.function_type|ERA_UNKNOWN|DEAD|N/A
.new_scalars|ERA_UNKNOWN|DEAD|N/A
..typeconv|ERA_UNKNOWN|DEAD|N/A
numba.core.types.abstract|ERA_UNKNOWN|DEAD|N/A
numba.core.types.common|ERA_UNKNOWN|DEAD|N/A
.templates|ERA_UNKNOWN|DEAD|N/A
numba.core.cgutils|ERA_UNKNOWN|DEAD|N/A
.npydecl|ERA_UNKNOWN|DEAD|N/A
.builtins|ERA_UNKNOWN|DEAD|N/A
.typeof|ERA_UNKNOWN|DEAD|N/A
numpy.random.bit_generator|ERA_UNKNOWN|DEAD|N/A
.ctypes_utils|ERA_UNKNOWN|DEAD|N/A
numba.core.cpu|ERA_UNKNOWN|DEAD|N/A
numba.core.transforms|ERA_UNKNOWN|DEAD|N/A
numba.core.typing.builtins|ERA_UNKNOWN|DEAD|N/A
numba.extending|ERA_UNKNOWN|DEAD|N/A
numba.core.unsafe.bytes|ERA_UNKNOWN|DEAD|N/A
numba.cpython.randomimpl|ERA_UNKNOWN|DEAD|N/A
numba.cpython.unicode|ERA_UNKNOWN|DEAD|N/A
numba.cpython.unsafe.numbers|ERA_UNKNOWN|DEAD|N/A
numba.np.random._constants|ERA_UNKNOWN|DEAD|N/A
numba.cpython.hashing|ERA_UNKNOWN|DEAD|N/A
numba.cpython.unicode_support|ERA_UNKNOWN|DEAD|N/A
.simulator_init|ERA_UNKNOWN|DEAD|N/A
.device_init|ERA_UNKNOWN|DEAD|N/A
numba.cuda.compiler|ERA_UNKNOWN|DEAD|N/A
.cudadrv|ERA_UNKNOWN|DEAD|N/A
numba.cuda.api_util|ERA_UNKNOWN|DEAD|N/A
.cudadrv.devicearray|ERA_UNKNOWN|DEAD|N/A
numba.cuda|ERA_UNKNOWN|DEAD|N/A
numba.cuda.extending|ERA_UNKNOWN|DEAD|N/A
numba.cuda.types|ERA_UNKNOWN|DEAD|N/A
numba.cuda.cudadrv.libs|ERA_UNKNOWN|DEAD|N/A
numba.cuda.api|ERA_UNKNOWN|DEAD|N/A
numba.cuda.target|ERA_UNKNOWN|DEAD|N/A
.descriptor|ERA_UNKNOWN|DEAD|N/A
numba.misc.findlib|ERA_UNKNOWN|DEAD|N/A
numba.core.typing.npydecl|ERA_UNKNOWN|DEAD|N/A
numba.cuda.cudadrv|ERA_UNKNOWN|DEAD|N/A
numba.cuda.kernels.transpose|ERA_UNKNOWN|DEAD|N/A
.driver|ERA_UNKNOWN|DEAD|N/A
.drvapi|ERA_UNKNOWN|DEAD|N/A
cubinlinker|ERA_UNKNOWN|DEAD|N/A
ptxcompiler|ERA_UNKNOWN|DEAD|N/A
numba.cuda.cuda_paths|ERA_UNKNOWN|DEAD|N/A
numba.cuda.cudadrv.driver|ERA_UNKNOWN|DEAD|N/A
numba.cuda.cudadrv.error|ERA_UNKNOWN|DEAD|N/A
.libs|ERA_UNKNOWN|DEAD|N/A
numba.cuda.cudadrv.runtime|ERA_UNKNOWN|DEAD|N/A
numba.cuda.cudadrv.rtapi|ERA_UNKNOWN|DEAD|N/A
numba.np.npyimpl|ERA_UNKNOWN|DEAD|N/A
numba.cuda.dispatcher|ERA_UNKNOWN|DEAD|N/A
numba.cuda.simulator.kernel|ERA_UNKNOWN|DEAD|N/A
.target|ERA_UNKNOWN|DEAD|N/A
.stubs|ERA_UNKNOWN|DEAD|N/A
.intrinsics|ERA_UNKNOWN|DEAD|N/A
.cudadrv.error|ERA_UNKNOWN|DEAD|N/A
.args|ERA_UNKNOWN|DEAD|N/A
.intrinsic_wrapper|ERA_UNKNOWN|DEAD|N/A
.kernels|ERA_UNKNOWN|DEAD|N/A
numba.np.ufunc.ufuncbuilder|ERA_UNKNOWN|DEAD|N/A
numba.np.ufunc.sigparse|ERA_UNKNOWN|DEAD|N/A
numba.cuda.args|ERA_UNKNOWN|DEAD|N/A
numba.cuda.cudadrv.devices|ERA_UNKNOWN|DEAD|N/A
numba.cuda.descriptor|ERA_UNKNOWN|DEAD|N/A
numba.cuda.errors|ERA_UNKNOWN|DEAD|N/A
numba.cuda.models  # noqa: F401|ERA_UNKNOWN|DEAD|N/A
numba.cuda.decorators|ERA_UNKNOWN|DEAD|N/A
numba.types|ERA_UNKNOWN|DEAD|N/A
.vector_types|ERA_UNKNOWN|DEAD|N/A
.cudadrv.devices|ERA_UNKNOWN|DEAD|N/A
.cudadrv.runtime|ERA_UNKNOWN|DEAD|N/A
numba.cuda.simulator|ERA_UNKNOWN|DEAD|N/A
.kernel|ERA_UNKNOWN|DEAD|N/A
numba.core.sigutils|ERA_UNKNOWN|DEAD|N/A
..args|ERA_UNKNOWN|DEAD|N/A
numba.cuda.simulator.cudadrv|ERA_UNKNOWN|DEAD|N/A
.kernelapi|ERA_UNKNOWN|DEAD|N/A
numba.cuda.stubs|ERA_UNKNOWN|DEAD|N/A
.simulator|ERA_UNKNOWN|DEAD|N/A
numba.core.callconv|ERA_UNKNOWN|DEAD|N/A
numba.cuda.models|ERA_UNKNOWN|DEAD|N/A
numba.tests.support|ERA_UNKNOWN|DEAD|N/A
cubinlinker  # noqa: F401|ERA_UNKNOWN|DEAD|N/A
ptxcompiler  # noqa: F401|ERA_UNKNOWN|DEAD|N/A
numba.cuda.testing|ERA_UNKNOWN|DEAD|N/A
numba.cuda.cudadrv.devicearray|ERA_UNKNOWN|DEAD|N/A
numba.cuda.cudadrv.nvvm|ERA_UNKNOWN|DEAD|N/A
numba.cuda.tests.cudapy.cache_usecases|ERA_UNKNOWN|DEAD|N/A
numba.cuda.cudaimpl|ERA_UNKNOWN|DEAD|N/A
numba.tests.test_caching|ERA_UNKNOWN|DEAD|N/A
numba.cuda.codegen|ERA_UNKNOWN|DEAD|N/A
numba.tests.complex_usecases|ERA_UNKNOWN|DEAD|N/A
numba.tests.enum_usecases|ERA_UNKNOWN|DEAD|N/A
numba.cuda.cudadecl|ERA_UNKNOWN|DEAD|N/A
numba.cuda.deviceufunc|ERA_UNKNOWN|DEAD|N/A
numba.cuda.libdevicefuncs|ERA_UNKNOWN|DEAD|N/A
.extensions_usecases|ERA_UNKNOWN|DEAD|N/A
numba.cuda.random|ERA_UNKNOWN|DEAD|N/A
numba.cuda.tests.cudapy|ERA_UNKNOWN|DEAD|N/A
numba.tests.test_ufuncs|ERA_UNKNOWN|DEAD|N/A
numba.cuda.simulator.vector_types|ERA_UNKNOWN|DEAD|N/A
numba.cuda.vector_types|ERA_UNKNOWN|DEAD|N/A
numba.tests.npyufunc.test_vectorize_decor|ERA_UNKNOWN|DEAD|N/A
numba.cuda.tests.cudasim|ERA_UNKNOWN|DEAD|N/A
numba.cuda.cudadrv.dummyarray|ERA_UNKNOWN|DEAD|N/A
numba.cuda.mathimpl|ERA_UNKNOWN|DEAD|N/A
.jitclass|ERA_UNKNOWN|DEAD|N/A
numba.experimental.jitclass.decorators|ERA_UNKNOWN|DEAD|N/A
numba.experimental.jitclass|ERA_UNKNOWN|DEAD|N/A
numba.tests|ERA_UNKNOWN|DEAD|N/A
win32com.shell|ERA_UNKNOWN|DEAD|N/A
com.sun|ERA_UNKNOWN|DEAD|N/A
com.sun.jna.platform|ERA_UNKNOWN|DEAD|N/A
com.sun.jna|ERA_UNKNOWN|DEAD|N/A
coverage|ERA_UNKNOWN|DEAD|N/A
pygments.styles.default|ERA_UNKNOWN|DEAD|N/A
pygments.styles.manni|ERA_UNKNOWN|DEAD|N/A
pygments.styles.monokai|ERA_UNKNOWN|DEAD|N/A
pygments.styles.native|ERA_UNKNOWN|DEAD|N/A
pygments.lexer|ERA_UNKNOWN|DEAD|N/A
pygments.token|ERA_UNKNOWN|DEAD|N/A
pygments.style|ERA_UNKNOWN|DEAD|N/A
gdb.printing|ERA_UNKNOWN|DEAD|N/A
gdb|ERA_UNKNOWN|DEAD|N/A
numba._version|ERA_UNKNOWN|DEAD|N/A
r2pipe|ERA_UNKNOWN|DEAD|N/A
.numba_sysinfo|ERA_UNKNOWN|DEAD|N/A
.numba_gdbinfo|ERA_UNKNOWN|DEAD|N/A
numpy.core._multiarray_umath|ERA_UNKNOWN|DEAD|N/A
numba.cpython.charseq|ERA_UNKNOWN|DEAD|N/A
numba.np.arraymath|ERA_UNKNOWN|DEAD|N/A
.arrayobj|ERA_UNKNOWN|DEAD|N/A
scipy.linalg.cython_blas|ERA_UNKNOWN|DEAD|N/A
scipy.linalg.cython_lapack|ERA_UNKNOWN|DEAD|N/A
numba.np.math|ERA_UNKNOWN|DEAD|N/A
numpy.polynomial.polynomial|ERA_UNKNOWN|DEAD|N/A
numpy.polynomial|ERA_UNKNOWN|DEAD|N/A
numba.np.random.generator_core|ERA_UNKNOWN|DEAD|N/A
numba.core.types.containers|ERA_UNKNOWN|DEAD|N/A
numba.np.random.distributions|ERA_UNKNOWN|DEAD|N/A
numba.np.ufunc.decorators|ERA_UNKNOWN|DEAD|N/A
numba.np.ufunc._internal|ERA_UNKNOWN|DEAD|N/A
numba.cuda.vectorizers|ERA_UNKNOWN|DEAD|N/A
numba.np.ufunc.dufunc|ERA_UNKNOWN|DEAD|N/A
numba.np.ufunc.ufunc_base|ERA_UNKNOWN|DEAD|N/A
numba.np.ufunc.wrappers|ERA_UNKNOWN|DEAD|N/A
numba.np.npdatetime_helpers|ERA_UNKNOWN|DEAD|N/A
numba.stencils.stencilparfor|ERA_UNKNOWN|DEAD|N/A
numba.core.types.functions|ERA_UNKNOWN|DEAD|N/A
numba.parfors.array_analysis|ERA_UNKNOWN|DEAD|N/A
numba.cpython.builtins|ERA_UNKNOWN|DEAD|N/A
numba.stencils|ERA_UNKNOWN|DEAD|N/A
numba.parfors.parfor_lowering_utils|ERA_UNKNOWN|DEAD|N/A
.cc|ERA_UNKNOWN|DEAD|N/A
setuptools.command|ERA_UNKNOWN|DEAD|N/A
setuptools.extension|ERA_UNKNOWN|DEAD|N/A
numba.pycc.compiler|ERA_UNKNOWN|DEAD|N/A
numba.pycc.platform|ERA_UNKNOWN|DEAD|N/A
numba.pycc|ERA_UNKNOWN|DEAD|N/A
setuptools.dist|ERA_UNKNOWN|DEAD|N/A
numba.testing._runtests|ERA_UNKNOWN|DEAD|N/A
StringIO|ERA_UNKNOWN|DEAD|N/A
.loader|ERA_UNKNOWN|DEAD|N/A
Queue|ERA_UNKNOWN|DEAD|N/A
git|ERA_UNKNOWN|DEAD|N/A
ipykernel.tests|ERA_UNKNOWN|DEAD|N/A
nbformat.converter|ERA_UNKNOWN|DEAD|N/A
nbformat.reader|ERA_UNKNOWN|DEAD|N/A
unittest.suite|ERA_UNKNOWN|DEAD|N/A
numba.tests.ctypes_usecases|ERA_UNKNOWN|DEAD|N/A
numba.core.typing.cffi_utils|ERA_UNKNOWN|DEAD|N/A
matplotlib.pylab|ERA_UNKNOWN|DEAD|N/A
numba.tests.gdb_support|ERA_UNKNOWN|DEAD|N/A
numba.misc.numba_gdbinfo|ERA_UNKNOWN|DEAD|N/A
numba.misc.gdb_hook|ERA_UNKNOWN|DEAD|N/A
pexpect|ERA_UNKNOWN|DEAD|N/A
numba.tests.npyufunc.ufuncbuilding_usecases|ERA_UNKNOWN|DEAD|N/A
numba # noqa|ERA_UNKNOWN|DEAD|N/A
deliberately unused|ERA_UNKNOWN|DEAD|N/A
here to test is safe|ERA_UNKNOWN|DEAD|N/A
source_module|ERA_UNKNOWN|DEAD|N/A
nested.source_module|ERA_UNKNOWN|DEAD|N/A
numba.tests.usecases|ERA_UNKNOWN|DEAD|N/A
ipykernel|ERA_UNKNOWN|DEAD|N/A
.dummy_module|ERA_UNKNOWN|DEAD|N/A
test_module  # type: ignore|ERA_UNKNOWN|DEAD|N/A
file2|ERA_UNKNOWN|DEAD|N/A
numba.tests.cffi_usecases|ERA_UNKNOWN|DEAD|N/A
numba.tests.chained_assign_usecases|ERA_UNKNOWN|DEAD|N/A
numba.misc.numba_sysinfo|ERA_UNKNOWN|DEAD|N/A
numba.tests.test_codegen|ERA_UNKNOWN|DEAD|N/A
.complex_usecases|ERA_UNKNOWN|DEAD|N/A
numba.core.datamodel.testing|ERA_UNKNOWN|DEAD|N/A
numba.core.datamodel.manager|ERA_UNKNOWN|DEAD|N/A
numba.pycc # noqa: F401|ERA_UNKNOWN|DEAD|N/A
numba.typed.typedobjectutils|ERA_UNKNOWN|DEAD|N/A
numba.core.typing.dictdecl|ERA_UNKNOWN|DEAD|N/A
numba.testing.main|ERA_UNKNOWN|DEAD|N/A
numba.tests.errorhandling_usecases|ERA_UNKNOWN|DEAD|N/A
.pdlike_usecase|ERA_UNKNOWN|DEAD|N/A
scipy.special.cython_special|ERA_UNKNOWN|DEAD|N/A
.overload_usecases|ERA_UNKNOWN|DEAD|N/A
numba.core.itanium_mangler|ERA_UNKNOWN|DEAD|N/A
.support|ERA_UNKNOWN|DEAD|N/A
numba.misc.help.inspector|ERA_UNKNOWN|DEAD|N/A
numba.tests.inlining_usecases|ERA_UNKNOWN|DEAD|N/A
unittest.case|ERA_UNKNOWN|DEAD|N/A
.inlining_usecases|ERA_UNKNOWN|DEAD|N/A
numba.tests.inlining_usecases  # noqa forces registration|ERA_UNKNOWN|DEAD|N/A
numba.core.runtime.nrt|ERA_UNKNOWN|DEAD|N/A
.annotation_usecases|ERA_UNKNOWN|DEAD|N/A
.matmul_usecase|ERA_UNKNOWN|DEAD|N/A
numba.types.misc|ERA_UNKNOWN|DEAD|N/A
numba.types.containers|ERA_UNKNOWN|DEAD|N/A
numba.np.extensions|ERA_UNKNOWN|DEAD|N/A
numba.np.random.generator_methods|ERA_UNKNOWN|DEAD|N/A
.test_np_functions|ERA_UNKNOWN|DEAD|N/A
numba.core.unsafe.nrt|ERA_UNKNOWN|DEAD|N/A
numba.tests.test_parallel_backend|ERA_UNKNOWN|DEAD|N/A
numba.tests.matmul_usecase|ERA_UNKNOWN|DEAD|N/A
scipy.linalg.cython_lapack    # noqa: F401|ERA_UNKNOWN|DEAD|N/A
threading_backend_usecases|ERA_UNKNOWN|DEAD|N/A
.test_caching|ERA_UNKNOWN|DEAD|N/A
numba.tests.test_profiler|ERA_UNKNOWN|DEAD|N/A
numba.tests.npyufunc.test_dufunc|ERA_UNKNOWN|DEAD|N/A
numba.pycc.decorators|ERA_UNKNOWN|DEAD|N/A
%(name)s|ERA_UNKNOWN|DEAD|N/A
pycc_compiled_module|ERA_UNKNOWN|DEAD|N/A
nested.pycc_compiled_module|ERA_UNKNOWN|DEAD|N/A
numba.tests.recursion_usecases|ERA_UNKNOWN|DEAD|N/A
git  # noqa: F401 from gitpython package|ERA_UNKNOWN|DEAD|N/A
yaml  # from pyyaml package|ERA_UNKNOWN|DEAD|N/A
numba.cloudpickle|ERA_UNKNOWN|DEAD|N/A
.serialize_usecases|ERA_UNKNOWN|DEAD|N/A
numba.misc.quicksort|ERA_UNKNOWN|DEAD|N/A
numba.misc.mergesort|ERA_UNKNOWN|DEAD|N/A
numba.misc.timsort|ERA_UNKNOWN|DEAD|N/A
.enum_usecases|ERA_UNKNOWN|DEAD|N/A
numba.core.typeconv.typeconv|ERA_UNKNOWN|DEAD|N/A
numba.core.unsafe.refcount|ERA_UNKNOWN|DEAD|N/A
numba.tests.typedlist_usecases|ERA_UNKNOWN|DEAD|N/A
typeguard|ERA_UNKNOWN|DEAD|N/A
numba.tests.test_typeconv|ERA_UNKNOWN|DEAD|N/A
numba._dispatcher|ERA_UNKNOWN|DEAD|N/A
numba.tests.test_numpy_support|ERA_UNKNOWN|DEAD|N/A
tmp_module|ERA_UNKNOWN|DEAD|N/A
numba.tests.error_usecases|ERA_UNKNOWN|DEAD|N/A
numba.core.interpreter|ERA_UNKNOWN|DEAD|N/A
._globals|ERA_UNKNOWN|DEAD|N/A
numpy.__config__|ERA_UNKNOWN|DEAD|N/A
.lib|ERA_UNKNOWN|DEAD|N/A
.matrixlib|ERA_UNKNOWN|DEAD|N/A
numpy._pytesttester|ERA_UNKNOWN|DEAD|N/A
numpy.core|ERA_UNKNOWN|DEAD|N/A
PyInstaller.compat|ERA_UNKNOWN|DEAD|N/A
PyInstaller.utils.hooks|ERA_UNKNOWN|DEAD|N/A
numpy.distutils|ERA_UNKNOWN|DEAD|N/A
numpy.array_api|ERA_UNKNOWN|DEAD|N/A
._nested_sequence|ERA_UNKNOWN|DEAD|N/A
._nbit|ERA_UNKNOWN|DEAD|N/A
._char_codes|ERA_UNKNOWN|DEAD|N/A
._scalars|ERA_UNKNOWN|DEAD|N/A
._shape|ERA_UNKNOWN|DEAD|N/A
._dtype_like|ERA_UNKNOWN|DEAD|N/A
._array_like|ERA_UNKNOWN|DEAD|N/A
._ufunc|ERA_UNKNOWN|DEAD|N/A
numpy.distutils.misc_util|ERA_UNKNOWN|DEAD|N/A
numpy.distutils.core|ERA_UNKNOWN|DEAD|N/A
._convertions|ERA_UNKNOWN|DEAD|N/A
._constants|ERA_UNKNOWN|DEAD|N/A
._creation_functions|ERA_UNKNOWN|DEAD|N/A
._data_type_functions|ERA_UNKNOWN|DEAD|N/A
._dtypes|ERA_UNKNOWN|DEAD|N/A
._elementwise_functions|ERA_UNKNOWN|DEAD|N/A
._indexing_functions|ERA_UNKNOWN|DEAD|N/A
.linalg|ERA_UNKNOWN|DEAD|N/A
._manipulation_functions|ERA_UNKNOWN|DEAD|N/A
._searching_functions|ERA_UNKNOWN|DEAD|N/A
._set_functions|ERA_UNKNOWN|DEAD|N/A
._sorting_functions|ERA_UNKNOWN|DEAD|N/A
._statistical_functions|ERA_UNKNOWN|DEAD|N/A
._utility_functions|ERA_UNKNOWN|DEAD|N/A
._array_object|ERA_UNKNOWN|DEAD|N/A
..core.numeric|ERA_UNKNOWN|DEAD|N/A
..linalg.linalg|ERA_UNKNOWN|DEAD|N/A
