# 03_MODULE_RESOLUTION.txt
# Module existence verification on filesystem
# Format: <module_path>|<status>|<resolved_file_path>

huggingface_hub.cli.cache|DEAD|NO_FILE
huggingface_hub.cli.datasets|DEAD|NO_FILE
huggingface_hub.cli.download|DEAD|NO_FILE
huggingface_hub.cli.inference_endpoints|DEAD|NO_FILE
huggingface_hub.cli.jobs|DEAD|NO_FILE
huggingface_hub.cli.lfs|DEAD|NO_FILE
huggingface_hub.cli.models|DEAD|NO_FILE
huggingface_hub.cli.repo|DEAD|NO_FILE
huggingface_hub.cli.repo_files|DEAD|NO_FILE
huggingface_hub.cli.spaces|DEAD|NO_FILE
huggingface_hub.cli.system|DEAD|NO_FILE
huggingface_hub.cli.upload|DEAD|NO_FILE
huggingface_hub.cli.upload_large_folder|DEAD|NO_FILE
huggingface_hub._inference_endpoints|DEAD|NO_FILE
multiprocessing.pool|DEAD|NO_FILE
huggingface_hub.utils._cache_manager|DEAD|NO_FILE
huggingface_hub.utils._dotenv|DEAD|NO_FILE
huggingface_hub.lfs|DEAD|NO_FILE
..utils._lfs|DEAD|NO_FILE
huggingface_hub._commit_scheduler|DEAD|NO_FILE
toml|DEAD|NO_FILE
fastai.learner|DEAD|NO_FILE
.utils._http|DEAD|NO_FILE
.utils._typing|DEAD|NO_FILE
.utils.tqdm|DEAD|NO_FILE
._upload_large_folder|DEAD|NO_FILE
.utils._deprecation|DEAD|NO_FILE
.utils._verification|DEAD|NO_FILE
.utils.endpoint_helpers|DEAD|NO_FILE
.inference._providers|DEAD|NO_FILE
.utils.insecure_hashlib|DEAD|NO_FILE
torch  # type: ignore|DEAD|NO_FILE
safetensors|DEAD|NO_FILE
safetensors.torch|DEAD|NO_FILE
huggingface_hub.inference._common|DEAD|NO_FILE
huggingface_hub.inference._generated.types|DEAD|NO_FILE
huggingface_hub.inference._providers|DEAD|NO_FILE
huggingface_hub.utils._auth|DEAD|NO_FILE
PIL.Image|DEAD|NO_FILE
._generated.types|DEAD|NO_FILE
.._common|DEAD|NO_FILE
.audio_classification|DEAD|NO_FILE
.audio_to_audio|DEAD|NO_FILE
.automatic_speech_recognition|DEAD|NO_FILE
.chat_completion|DEAD|NO_FILE
.depth_estimation|DEAD|NO_FILE
.document_question_answering|DEAD|NO_FILE
.feature_extraction|DEAD|NO_FILE
.fill_mask|DEAD|NO_FILE
.image_classification|DEAD|NO_FILE
.image_segmentation|DEAD|NO_FILE
.image_text_to_image|DEAD|NO_FILE
.image_text_to_video|DEAD|NO_FILE
.image_to_image|DEAD|NO_FILE
.image_to_text|DEAD|NO_FILE
.image_to_video|DEAD|NO_FILE
.object_detection|DEAD|NO_FILE
.question_answering|DEAD|NO_FILE
.sentence_similarity|DEAD|NO_FILE
.summarization|DEAD|NO_FILE
.table_question_answering|DEAD|NO_FILE
.text2text_generation|DEAD|NO_FILE
.text_classification|DEAD|NO_FILE
.text_generation|DEAD|NO_FILE
.text_to_audio|DEAD|NO_FILE
.text_to_image|DEAD|NO_FILE
.text_to_speech|DEAD|NO_FILE
.text_to_video|DEAD|NO_FILE
.token_classification|DEAD|NO_FILE
.translation|DEAD|NO_FILE
.video_classification|DEAD|NO_FILE
.visual_question_answering|DEAD|NO_FILE
.zero_shot_classification|DEAD|NO_FILE
.zero_shot_image_classification|DEAD|NO_FILE
.zero_shot_object_detection|DEAD|NO_FILE
.._providers|DEAD|NO_FILE
._cli_hacks|DEAD|NO_FILE
.agent|DEAD|NO_FILE
...utils._runtime|DEAD|NO_FILE
.._generated._async_client|DEAD|NO_FILE
.._generated.types|DEAD|NO_FILE
mcp|DEAD|NO_FILE
mcp.client.stdio|DEAD|NO_FILE
mcp.client.sse|DEAD|NO_FILE
mcp.client.streamable_http|DEAD|NO_FILE
huggingface_hub.inference._providers.featherless_ai|DEAD|NO_FILE
.black_forest_labs|DEAD|NO_FILE
.cerebras|DEAD|NO_FILE
.clarifai|DEAD|NO_FILE
.cohere|DEAD|NO_FILE
.fal_ai|DEAD|NO_FILE
.fireworks_ai|DEAD|NO_FILE
.groq|DEAD|NO_FILE
.hf_inference|DEAD|NO_FILE
.hyperbolic|DEAD|NO_FILE
.nebius|DEAD|NO_FILE
.novita|DEAD|NO_FILE
.nscale|DEAD|NO_FILE
.openai|DEAD|NO_FILE
.ovhcloud|DEAD|NO_FILE
.publicai|DEAD|NO_FILE
.replicate|DEAD|NO_FILE
.sambanova|DEAD|NO_FILE
.scaleway|DEAD|NO_FILE
.together|DEAD|NO_FILE
.wavespeed|DEAD|NO_FILE
.zai_org|DEAD|NO_FILE
huggingface_hub.inference._generated.types.chat_completion|DEAD|NO_FILE
huggingface_hub.inference._providers._common|DEAD|NO_FILE
huggingface_hub.utils._http|DEAD|NO_FILE
huggingface_hub.utils.logging|DEAD|NO_FILE
.utils._lfs|DEAD|NO_FILE
huggingface_hub.repocard_data|DEAD|NO_FILE
._torch|DEAD|NO_FILE
..errors|DEAD|NO_FILE
torch.distributed.tensor|DEAD|NO_FILE
torch.utils._python_dispatch|DEAD|NO_FILE
torch_xla  # type: ignore[import]|DEAD|NO_FILE
torch_xla.core.xla_model|DEAD|NO_FILE
._cache_assets|DEAD|NO_FILE
._cache_manager|DEAD|NO_FILE
._chunk_utils|DEAD|NO_FILE
._datetime|DEAD|NO_FILE
._experimental|DEAD|NO_FILE
._fixes|DEAD|NO_FILE
._git_credential|DEAD|NO_FILE
._http|DEAD|NO_FILE
._pagination|DEAD|NO_FILE
._paths|DEAD|NO_FILE
._runtime|DEAD|NO_FILE
._safetensors|DEAD|NO_FILE
._subprocess|DEAD|NO_FILE
._telemetry|DEAD|NO_FILE
._terminal|DEAD|NO_FILE
._validators|DEAD|NO_FILE
._xet|DEAD|NO_FILE
.tqdm|DEAD|NO_FILE
google.colab|DEAD|NO_FILE
google.colab.errors|DEAD|NO_FILE
..constants|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/constants.py
filelock|DEAD|NO_FILE
._lfs|DEAD|NO_FILE
.logging|DEAD|NO_FILE
..file_download|DEAD|NO_FILE
.sha|DEAD|NO_FILE
..hf_api|DEAD|NO_FILE
..repocard_data|DEAD|NO_FILE
.insecure_hashlib|DEAD|NO_FILE
.intranges|DEAD|NO_FILE
.package_data|DEAD|NO_FILE
.uts46data|DEAD|NO_FILE
img2table.document.image|DEAD|NO_FILE
img2table.document.pdf|DEAD|NO_FILE
xlsxwriter|DEAD|NO_FILE
img2table|DEAD|NO_FILE
img2table.tables.objects.extraction|DEAD|NO_FILE
img2table.ocr.base|DEAD|NO_FILE
img2table.tables.objects.table|DEAD|NO_FILE
img2table.tables.processing.text.titles|DEAD|NO_FILE
img2table.tables.image|DEAD|NO_FILE
polars|DEAD|NO_FILE
img2table.document.base|DEAD|NO_FILE
img2table.document.base.rotation|DEAD|NO_FILE
pypdfium2|DEAD|NO_FILE
img2table.ocr.pdf|DEAD|NO_FILE
img2table.ocr.aws_textract|DEAD|NO_FILE
img2table.ocr.azure|DEAD|NO_FILE
img2table.ocr.doctr|DEAD|NO_FILE
img2table.ocr.easyocr|DEAD|NO_FILE
img2table.ocr.google_vision|DEAD|NO_FILE
img2table.ocr.paddle|DEAD|NO_FILE
img2table.ocr.surya|DEAD|NO_FILE
img2table.ocr.tesseract|DEAD|NO_FILE
img2table.ocr.data|DEAD|NO_FILE
boto3|DEAD|NO_FILE
azure.cognitiveservices.vision.computervision.models|DEAD|NO_FILE
azure.cognitiveservices.vision.computervision|DEAD|NO_FILE
msrest.authentication|DEAD|NO_FILE
img2table.tables.objects.cell|DEAD|NO_FILE
doctr|DEAD|NO_FILE
doctr.models|DEAD|NO_FILE
easyocr|DEAD|NO_FILE
google.cloud|DEAD|NO_FILE
paddleocr|DEAD|NO_FILE
surya|DEAD|NO_FILE
surya.recognition|DEAD|NO_FILE
surya.detection|DEAD|NO_FILE
surya.foundation|DEAD|NO_FILE
img2table.tables|DEAD|NO_FILE
img2table.tables.metrics|DEAD|NO_FILE
img2table.tables.objects.line|DEAD|NO_FILE
img2table.tables.processing.bordered_tables.cells|DEAD|NO_FILE
img2table.tables.processing.bordered_tables.lines|DEAD|NO_FILE
img2table.tables.processing.bordered_tables.tables|DEAD|NO_FILE
img2table.tables.processing.bordered_tables.tables.consecutive|DEAD|NO_FILE
img2table.tables.processing.bordered_tables.tables.implicit|DEAD|NO_FILE
img2table.tables.processing.borderless_tables|DEAD|NO_FILE
img2table.tables.objects|DEAD|NO_FILE
xlsxwriter.format|DEAD|NO_FILE
xlsxwriter.worksheet|DEAD|NO_FILE
img2table.tables.objects.row|DEAD|NO_FILE
img2table.tables.processing.bordered_tables.cells.deduplication|DEAD|NO_FILE
img2table.tables.processing.bordered_tables.cells.identification|DEAD|NO_FILE
img2table.tables.processing.bordered_tables.tables.cell_clustering|DEAD|NO_FILE
img2table.tables.processing.bordered_tables.tables.semi_bordered|DEAD|NO_FILE
img2table.tables.processing.bordered_tables.tables.table_creation|DEAD|NO_FILE
img2table.tables.processing.borderless_tables.model|DEAD|NO_FILE
img2table.tables.processing.borderless_tables.whitespaces|DEAD|NO_FILE
img2table.tables.processing.common|DEAD|NO_FILE
img2table.tables.processing.borderless_tables.columns|DEAD|NO_FILE
img2table.tables.processing.borderless_tables.layout|DEAD|NO_FILE
img2table.tables.processing.borderless_tables.rows|DEAD|NO_FILE
img2table.tables.processing.borderless_tables.table|DEAD|NO_FILE
img2table.tables.processing.borderless_tables.layout.column_segments|DEAD|NO_FILE
img2table.tables.processing.borderless_tables.layout.image_elements|DEAD|NO_FILE
img2table.tables.processing.borderless_tables.layout.rlsa|DEAD|NO_FILE
img2table.tables.processing.borderless_tables.layout.table_segments|DEAD|NO_FILE
img2table.tables.processing.borderless_tables.table.coherency|DEAD|NO_FILE
img2table.tables.processing.borderless_tables.table.table_creation|DEAD|NO_FILE
IPython # noqa: F401|DEAD|NO_FILE
sympy.interactive.session|DEAD|NO_FILE
sympy.interactive|DEAD|NO_FILE
.encoding|DEAD|NO_FILE
.exc|DEAD|NO_FILE
.serializer|DEAD|NO_FILE
.signer|DEAD|NO_FILE
.timed|DEAD|NO_FILE
.url_safe|DEAD|NO_FILE
._json|DEAD|NO_FILE
.bccache|DEAD|NO_FILE
.environment|DEAD|NO_FILE
.loaders|DEAD|NO_FILE
.runtime|DEAD|NO_FILE
marshal|DEAD|NO_FILE
.idtracking|DEAD|NO_FILE
.nodes|DEAD|NO_FILE
.optimizer|DEAD|NO_FILE
.visitor|DEAD|NO_FILE
.filters|DEAD|NO_FILE
.compiler|DEAD|NO_FILE
.defaults|DEAD|NO_FILE
.lexer|DEAD|NO_FILE
.ext|DEAD|NO_FILE
.debug|DEAD|NO_FILE
.async_utils|DEAD|NO_FILE
.sandbox|DEAD|NO_FILE
._identifier|DEAD|NO_FILE
zipimport|DEAD|NO_FILE
_string|DEAD|NO_FILE
._cloudpickle_wrapper|DEAD|NO_FILE
._parallel_backends|DEAD|NO_FILE
._store_backends|DEAD|NO_FILE
.compressor|DEAD|NO_FILE
.hashing|DEAD|NO_FILE
.logger|DEAD|NO_FILE
.numpy_pickle|DEAD|NO_FILE
.parallel|DEAD|NO_FILE
._multiprocessing_helpers|DEAD|NO_FILE
.externals.loky|DEAD|NO_FILE
dask.distributed|DEAD|NO_FILE
dask.sizeof|DEAD|NO_FILE
dask.utils|DEAD|NO_FILE
distributed.utils|DEAD|NO_FILE
tornado.gen|DEAD|NO_FILE
numpy.lib.stride_tricks|DEAD|NO_FILE
.backports|DEAD|NO_FILE
.disk|DEAD|NO_FILE
.externals.loky.backend|DEAD|NO_FILE
.externals.loky.backend.resource_tracker|DEAD|NO_FILE
numpy.lib.array_utils|DEAD|NO_FILE
_multiprocessing  # noqa|DEAD|NO_FILE
_multiprocessing|DEAD|NO_FILE
multiprocessing.context|DEAD|NO_FILE
.executor|DEAD|NO_FILE
.externals.loky.process_executor|DEAD|NO_FILE
.pool|DEAD|NO_FILE
._memmapping_reducer|DEAD|NO_FILE
joblib.backports|DEAD|NO_FILE
dummy_threading|DEAD|NO_FILE
.externals.loky.reusable_executor|DEAD|NO_FILE
.backend.context|DEAD|NO_FILE
.backend.reduction|DEAD|NO_FILE
.reusable_executor|DEAD|NO_FILE
.cloudpickle_wrapper|DEAD|NO_FILE
.process_executor|DEAD|NO_FILE
concurrent.futures._base|DEAD|NO_FILE
.context|DEAD|NO_FILE
_socket|DEAD|NO_FILE
multiprocessing.connection|DEAD|NO_FILE
.reduction|DEAD|NO_FILE
multiprocessing.reduction|DEAD|NO_FILE
concurrent.futures.process|DEAD|NO_FILE
.process|DEAD|NO_FILE
.queues|DEAD|NO_FILE
.synchronize|DEAD|NO_FILE
_posixsubprocess|DEAD|NO_FILE
.fork_exec|DEAD|NO_FILE
_winapi|DEAD|NO_FILE
multiprocessing.popen_spawn_win32|DEAD|NO_FILE
multiprocessing.process|DEAD|NO_FILE
.popen_loky_win32|DEAD|NO_FILE
.popen_loky_posix|DEAD|NO_FILE
multiprocessing.queues|DEAD|NO_FILE
._posix_reduction|DEAD|NO_FILE
joblib.externals|DEAD|NO_FILE
joblib.externals.cloudpickle|DEAD|NO_FILE
multiprocessing.resource_tracker|DEAD|NO_FILE
.resource_tracker|DEAD|NO_FILE
viztracer|DEAD|NO_FILE
faulthandler|DEAD|NO_FILE
.backend|DEAD|NO_FILE
.backend.queues|DEAD|NO_FILE
.backend.utils|DEAD|NO_FILE
.initializers|DEAD|NO_FILE
pydoc|DEAD|NO_FILE
.func_inspect|DEAD|NO_FILE
.numpy_pickle_compat|DEAD|NO_FILE
.numpy_pickle_utils|DEAD|NO_FILE
numpy._core.multiarray|DEAD|NO_FILE
.externals|DEAD|NO_FILE
._dask|DEAD|NO_FILE
joblib._multiprocessing_helpers|DEAD|NO_FILE
joblib.testing|DEAD|NO_FILE
memory_profiler|DEAD|NO_FILE
joblib|DEAD|NO_FILE
joblib.test.common|DEAD|NO_FILE
.._cloudpickle_wrapper|DEAD|NO_FILE
joblib._parallel_backends|DEAD|NO_FILE
joblib.parallel|DEAD|NO_FILE
joblib.test.test_parallel|DEAD|NO_FILE
.._dask|DEAD|NO_FILE
..parallel|DEAD|NO_FILE
.test_parallel|DEAD|NO_FILE
distributed.metrics|DEAD|NO_FILE
distributed.utils_test|DEAD|NO_FILE
joblib._dask|DEAD|NO_FILE
joblib.disk|DEAD|NO_FILE
joblib.func_inspect|DEAD|NO_FILE
joblib.memory|DEAD|NO_FILE
joblib.test.test_func_inspect_special_encoding|DEAD|NO_FILE
joblib.hashing|DEAD|NO_FILE
joblib.logger|DEAD|NO_FILE
joblib._memmapping_reducer|DEAD|NO_FILE
joblib.executor|DEAD|NO_FILE
joblib.pool|DEAD|NO_FILE
joblib.externals.loky.backend|DEAD|NO_FILE
testutils|DEAD|NO_FILE
joblib._store_backends|DEAD|NO_FILE
tmp_joblib_|DEAD|NO_FILE
.test_memory|DEAD|NO_FILE
joblib.compressor|DEAD|NO_FILE
joblib.numpy_pickle_utils|DEAD|NO_FILE
joblib.test|DEAD|NO_FILE
joblib.externals.loky|DEAD|NO_FILE
posix|DEAD|NO_FILE
._openmp_test_helper.parallel_sum|DEAD|NO_FILE
joblib.externals.loky.process_executor|DEAD|NO_FILE
cPickle|DEAD|NO_FILE
joblib._utils|DEAD|NO_FILE
_pytest|DEAD|NO_FILE
jsonschema._format|DEAD|NO_FILE
jsonschema._types|DEAD|NO_FILE
jsonschema.exceptions|DEAD|NO_FILE
jsonschema.validators|DEAD|NO_FILE
jsonschema.protocols|DEAD|NO_FILE
jsonschema.cli|DEAD|NO_FILE
fqdn|DEAD|NO_FILE
rfc3987|DEAD|NO_FILE
rfc3986_validator|DEAD|NO_FILE
rfc3987_syntax|DEAD|NO_FILE
rfc3339_validator|DEAD|NO_FILE
webcolors|DEAD|NO_FILE
jsonpointer|DEAD|NO_FILE
uri_template|DEAD|NO_FILE
isoduration|DEAD|NO_FILE
jsonschema._utils|DEAD|NO_FILE
referencing.jsonschema|DEAD|NO_FILE
attrs|DEAD|NO_FILE
rpds|DEAD|NO_FILE
pyperf|DEAD|NO_FILE
referencing|DEAD|NO_FILE
jsonschema.tests._suite|DEAD|NO_FILE
referencing.exceptions|DEAD|NO_FILE
atheris|DEAD|NO_FILE
jsonpath_ng|DEAD|NO_FILE
jsonschema_specifications|DEAD|NO_FILE
jsonschema_specifications._core|DEAD|NO_FILE
importlib_resources|DEAD|NO_FILE
.facts|DEAD|NO_FILE
.goals|DEAD|NO_FILE
.term|DEAD|NO_FILE
etuples|DEAD|NO_FILE
toolz|DEAD|NO_FILE
.graph|DEAD|NO_FILE
unification.utils|DEAD|NO_FILE
cons|DEAD|NO_FILE
.constraints|DEAD|NO_FILE
unification.variable|DEAD|NO_FILE
._cext|DEAD|NO_FILE
.dylib|DEAD|NO_FILE
.executionengine|DEAD|NO_FILE
.initfini|DEAD|NO_FILE
.linker|DEAD|NO_FILE
.module|DEAD|NO_FILE
.options|DEAD|NO_FILE
.newpassmanagers|DEAD|NO_FILE
.targets|DEAD|NO_FILE
.value|DEAD|NO_FILE
.typeref|DEAD|NO_FILE
.analysis|DEAD|NO_FILE
.object_file|DEAD|NO_FILE
.orcjit|DEAD|NO_FILE
llvmlite.binding|DEAD|NO_FILE
llvmlite.binding.module|DEAD|NO_FILE
llvmlite|DEAD|NO_FILE
graphviz|DEAD|NO_FILE
lief|DEAD|NO_FILE
llvmlite.binding.common|DEAD|NO_FILE
llvmlite.utils|DEAD|NO_FILE
llvmlite.binding.linker|DEAD|NO_FILE
llvmlite.binding.value|DEAD|NO_FILE
llvmlite.binding.context|DEAD|NO_FILE
llvmlite.binding.initfini|DEAD|NO_FILE
llvmlite.binding.config|DEAD|NO_FILE
llvmlite.binding.typeref|DEAD|NO_FILE
.values|DEAD|NO_FILE
.instructions|DEAD|NO_FILE
llvmlite.ir|DEAD|NO_FILE
llvmlite.ir.values|DEAD|NO_FILE
llvmlite.ir._utils|DEAD|NO_FILE
llvmlite.tests|DEAD|NO_FILE
xmlrunner|DEAD|NO_FILE
lief  # noqa: F401|DEAD|NO_FILE
llvmlite.tests.refprune_proto|DEAD|NO_FILE
markdown_it|DEAD|NO_FILE
markdown_it.main|DEAD|NO_FILE
mdurl|DEAD|NO_FILE
.entities|DEAD|NO_FILE
.parse_link_destination|DEAD|NO_FILE
.parse_link_label|DEAD|NO_FILE
.parse_link_title|DEAD|NO_FILE
..common.utils|DEAD|NO_FILE
markdown_it.rules_inline|DEAD|NO_FILE
.parser_block|DEAD|NO_FILE
.parser_core|DEAD|NO_FILE
.parser_inline|DEAD|NO_FILE
.renderer|DEAD|NO_FILE
.rules_core.state_core|DEAD|NO_FILE
.token|DEAD|NO_FILE
linkify_it|DEAD|NO_FILE
.ruler|DEAD|NO_FILE
.rules_block.state_block|DEAD|NO_FILE
.rules_core|DEAD|NO_FILE
.rules_inline.state_inline|DEAD|NO_FILE
.common.utils|DEAD|NO_FILE
.blockquote|DEAD|NO_FILE
.code|DEAD|NO_FILE
.fence|DEAD|NO_FILE
.heading|DEAD|NO_FILE
.hr|DEAD|NO_FILE
.html_block|DEAD|NO_FILE
.lheading|DEAD|NO_FILE
.list|DEAD|NO_FILE
.paragraph|DEAD|NO_FILE
.reference|DEAD|NO_FILE
.state_block|DEAD|NO_FILE
.table|DEAD|NO_FILE
..common.html_blocks|DEAD|NO_FILE
..common.html_re|DEAD|NO_FILE
..ruler|DEAD|NO_FILE
..token|DEAD|NO_FILE
.block|DEAD|NO_FILE
.inline|DEAD|NO_FILE
.linkify|DEAD|NO_FILE
.normalize|DEAD|NO_FILE
.replacements|DEAD|NO_FILE
.smartquotes|DEAD|NO_FILE
.state_core|DEAD|NO_FILE
.text_join|DEAD|NO_FILE
.autolink|DEAD|NO_FILE
.backticks|DEAD|NO_FILE
.balance_pairs|DEAD|NO_FILE
.entity|DEAD|NO_FILE
.escape|DEAD|NO_FILE
.fragments_join|DEAD|NO_FILE
.html_inline|DEAD|NO_FILE
.image|DEAD|NO_FILE
.link|DEAD|NO_FILE
.newline|DEAD|NO_FILE
.state_inline|DEAD|NO_FILE
.text|DEAD|NO_FILE
..common.entities|DEAD|NO_FILE
._speedups|DEAD|NO_FILE
._native|DEAD|NO_FILE
matplotlib._api|DEAD|NO_FILE
matplotlib.rcsetup|DEAD|NO_FILE
setuptools_scm|DEAD|NO_FILE
winreg|DEAD|NO_FILE
.style.core|DEAD|NO_FILE
matplotlib.cm|DEAD|NO_FILE
._mathtext_data|DEAD|NO_FILE
.deprecation|DEAD|NO_FILE
.colors|DEAD|NO_FILE
matplotlib.transforms|DEAD|NO_FILE
matplotlib._layoutgrid|DEAD|NO_FILE
matplotlib.artist|DEAD|NO_FILE
matplotlib._enums|DEAD|NO_FILE
pyparsing|DEAD|NO_FILE
kiwisolver|DEAD|NO_FILE
matplotlib.patches|DEAD|NO_FILE
.font_manager|DEAD|NO_FILE
.ft2font|DEAD|NO_FILE
matplotlib.font_manager|DEAD|NO_FILE
matplotlib._animation_data|DEAD|NO_FILE
.backend_bases|DEAD|NO_FILE
._axes|DEAD|NO_FILE
matplotlib.category  # Register category unit converter|DEAD|NO_FILE
matplotlib.colorizer|DEAD|NO_FILE
matplotlib.contour|DEAD|NO_FILE
matplotlib.dates  # noqa: F401|DEAD|NO_FILE
Register date unit converter|DEAD|NO_FILE
matplotlib.image|DEAD|NO_FILE
matplotlib.inset|DEAD|NO_FILE
matplotlib.legend|DEAD|NO_FILE
matplotlib.markers|DEAD|NO_FILE
matplotlib.mlab|DEAD|NO_FILE
matplotlib.quiver|DEAD|NO_FILE
matplotlib.stackplot|DEAD|NO_FILE
matplotlib.streamplot|DEAD|NO_FILE
matplotlib.table|DEAD|NO_FILE
matplotlib.text|DEAD|NO_FILE
matplotlib.tri|DEAD|NO_FILE
matplotlib.units|DEAD|NO_FILE
matplotlib.axes._base|DEAD|NO_FILE
matplotlib.axes._secondary_axes|DEAD|NO_FILE
matplotlib.container|DEAD|NO_FILE
matplotlib.axis|DEAD|NO_FILE
matplotlib.gridspec|DEAD|NO_FILE
matplotlib.spines|DEAD|NO_FILE
matplotlib.scale|DEAD|NO_FILE
matplotlib._pylab_helpers|DEAD|NO_FILE
matplotlib.backend_managers|DEAD|NO_FILE
matplotlib.layout_engine|DEAD|NO_FILE
matplotlib.texmanager|DEAD|NO_FILE
IPython.core|DEAD|NO_FILE
.backends.registry|DEAD|NO_FILE
matplotlib.backend_bases|DEAD|NO_FILE
matplotlib.backend_tools|DEAD|NO_FILE
gi|DEAD|NO_FILE
gi.repository|DEAD|NO_FILE
.._afm|DEAD|NO_FILE
..backend_bases|DEAD|NO_FILE
tkinter.filedialog|DEAD|NO_FILE
tkinter.font|DEAD|NO_FILE
tkinter.messagebox|DEAD|NO_FILE
tkinter.simpledialog|DEAD|NO_FILE
._tkagg|DEAD|NO_FILE
matplotlib.ft2font|DEAD|NO_FILE
matplotlib.mathtext|DEAD|NO_FILE
matplotlib.backends._backend_agg|DEAD|NO_FILE
cairocffi|DEAD|NO_FILE
._backend_gtk|DEAD|NO_FILE
.backend_gtk3|DEAD|NO_FILE
cairo  # Presence of cairo is already checked by _backend_gtk.|DEAD|NO_FILE
.backend_cairo|DEAD|NO_FILE
.backend_gtk4|DEAD|NO_FILE
.backend_agg|DEAD|NO_FILE
matplotlib._tight_bbox|DEAD|NO_FILE
ipykernel.comm|DEAD|NO_FILE
.backend_webagg_core|DEAD|NO_FILE
matplotlib.backends.backend_mixed|DEAD|NO_FILE
matplotlib._afm|DEAD|NO_FILE
matplotlib.dates|DEAD|NO_FILE
matplotlib.backends.backend_pdf|DEAD|NO_FILE
matplotlib._mathtext_data|DEAD|NO_FILE
matplotlib.backends.qt_editor.figureoptions|DEAD|NO_FILE
.qt_compat|DEAD|NO_FILE
.backend_qt|DEAD|NO_FILE
.backend_qtagg|DEAD|NO_FILE
.backend_qtcairo|DEAD|NO_FILE
PyQt6|DEAD|NO_FILE
._backend_tk|DEAD|NO_FILE
tornado.ioloop|DEAD|NO_FILE
tornado.template|DEAD|NO_FILE
matplotlib.backends|DEAD|NO_FILE
tornado|DEAD|NO_FILE
wx.svg  # noqa: F401|DEAD|NO_FILE
.backend_wx|DEAD|NO_FILE
wx.lib.wxcairo|DEAD|NO_FILE
PySide6|DEAD|NO_FILE
shiboken6|DEAD|NO_FILE
PyQt5|DEAD|NO_FILE
sip|DEAD|NO_FILE
PySide2|DEAD|NO_FILE
shiboken2|DEAD|NO_FILE
matplotlib.backends.qt_compat|DEAD|NO_FILE
matplotlib.backends.qt_editor|DEAD|NO_FILE
numpy.exceptions|DEAD|NO_FILE
matplotlib._cm|DEAD|NO_FILE
matplotlib._cm_listed|DEAD|NO_FILE
matplotlib._cm_multivar|DEAD|NO_FILE
matplotlib._cm_bivar|DEAD|NO_FILE
._enums|DEAD|NO_FILE
matplotlib.patheffects|DEAD|NO_FILE
PIL.PngImagePlugin|DEAD|NO_FILE
._color_data|DEAD|NO_FILE
dateutil.rrule|DEAD|NO_FILE
dateutil.relativedelta|DEAD|NO_FILE
matplotlib.colorbar|DEAD|NO_FILE
plistlib|DEAD|NO_FILE
matplotlib._fontconfig_pattern|DEAD|NO_FILE
matplotlib._image|DEAD|NO_FILE
matplotlib._constrained_layout|DEAD|NO_FILE
matplotlib._tight_layout|DEAD|NO_FILE
matplotlib.offsetbox|DEAD|NO_FILE
.artist|DEAD|NO_FILE
.cbook|DEAD|NO_FILE
.markers|DEAD|NO_FILE
._mathtext|DEAD|NO_FILE
.bezier|DEAD|NO_FILE
matplotlib.bezier|DEAD|NO_FILE
matplotlib.hatch|DEAD|NO_FILE
.geo|DEAD|NO_FILE
.polar|DEAD|NO_FILE
numpy.fft|DEAD|NO_FILE
numpy.linalg|DEAD|NO_FILE
numpy.ma|DEAD|NO_FILE
matplotlib.projections|DEAD|NO_FILE
matplotlib.typing|DEAD|NO_FILE
matplotlib.widgets|DEAD|NO_FILE
.ticker|DEAD|NO_FILE
IPython.core.pylabtools|DEAD|NO_FILE
docutils|DEAD|NO_FILE
docutils.parsers.rst|DEAD|NO_FILE
docutils.parsers.rst.directives.images|DEAD|NO_FILE
sphinx.errors|DEAD|NO_FILE
sphinx|DEAD|NO_FILE
jinja2  # Sphinx dependency.|DEAD|NO_FILE
matplotlib.testing|DEAD|NO_FILE
matplotlib.testing.compare|DEAD|NO_FILE
matplotlib.testing.exceptions|DEAD|NO_FILE
matplotlib.testing.decorators|DEAD|NO_FILE
pandas.plotting|DEAD|NO_FILE
matplotlib.style|DEAD|NO_FILE
.compare|DEAD|NO_FILE
matplotlib.testing.jpl_units|DEAD|NO_FILE
matplotlib.projections.polar|DEAD|NO_FILE
.Duration|DEAD|NO_FILE
.Epoch|DEAD|NO_FILE
.UnitDbl|DEAD|NO_FILE
.StrConverter|DEAD|NO_FILE
.EpochConverter|DEAD|NO_FILE
.UnitDblConverter|DEAD|NO_FILE
.UnitDblFormatter|DEAD|NO_FILE
matplotlib.testing.conftest|DEAD|NO_FILE
matplotlib.backends.backend_agg|DEAD|NO_FILE
matplotlib.animation|DEAD|NO_FILE
matplotlib.projections.geo|DEAD|NO_FILE
mpl_toolkits.axisartist|DEAD|NO_FILE
matplotlib.testing._markers|DEAD|NO_FILE
matplotlib.backends._backend_pdf_ps|DEAD|NO_FILE
matplotlib.backends.backend_pgf|DEAD|NO_FILE
matplotlib.backends.backend_qtagg|DEAD|NO_FILE
matplotlib.backends.backend_qt|DEAD|NO_FILE
matplotlib.backends.backend_qt5|DEAD|NO_FILE
matplotlib.backends.backend_template|DEAD|NO_FILE
matplotlib.backends.backend_tkagg  # noqa|DEAD|NO_FILE
matplotlib.backends.backend_tkagg|DEAD|NO_FILE
