# 06_DECISION_MATRIX.txt
# Mechanical remediation actions per import
# Format: <module>|<era>|<module_reality>|<symbol_reality>|<action>|<status>

werkzeug.debug|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
werkzeug._reloader|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.namespace|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.test_client|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
simple_websocket  # noqa: F401|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
werkzeug._internal|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
eventlet.wsgi|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
eventlet.green|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
geventwebsocket.handler|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
socketio.pubsub_manager|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.loggingTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
runpy|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
EasyDialogs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.textTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.filesystem._base|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ufoLib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ufoLib.glifLib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
lxml.etree|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.cliTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.psCharStrings|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.cffLib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.transforms|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.specializer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.width|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.removeOverlaps|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.arrayTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.tables.otBase|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.tables|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.CFFToCFF2|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.CFF2ToCFF|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.fixedTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.treeTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.tables.otTables|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.errors|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.geometry|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.table_builder|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.roundTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.tables.otConverters|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.configTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.cu2qu|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
multiprocessing|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.ufo|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
ufoLib2|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
defcon|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
cython|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.pens.basePen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.pens.pointPen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.pens.reverseContourPen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.varLib.models|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.designspaceLib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.designspaceLib.statNames|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.designspaceLib.types|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
encodings|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.feaLib.builder|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.feaLib.error|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.feaLib.location|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.encodingTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.feaLib.lookupDebugInfo|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.feaLib.parser|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.feaLib.ast|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.feaLib.variableScalar|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.otlLib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.otlLib.maxContextCalc|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.otlLib.builder|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.otlLib.error|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.varLib.errors|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.varLib.varStore|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.varLib.builder|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.varLib.featureVars|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.feaLib.lexer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.fontBuilder|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.pens.ttGlyphPen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.pens.t2CharStringPen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.ttLib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.ttLib.tables._c_m_a_p|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.ttLib.tables._g_l_y_f|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.ttLib.tables.O_S_2f_2|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.misc.timeTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.cffLib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.varLib.builder|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.varLib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.feaLib.builder|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.colorLib.builder|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.otlLib.builder|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.ttLib.tables._f_v_a_r|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.merge.base|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.merge.cmap|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.merge.layout|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.merge.options|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.merge.tables|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.merge|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.tables.DefaultTable|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.merge.unicode|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.pens.recordingPen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.merge.util|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.timeTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.vector|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.transform|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.encodings.codecs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
xml.etree.cElementTree|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fs.base|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fs.copy|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fs.errors|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fs.info|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fs.osfs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fs.path|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fs.subfs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fs.tempfs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fs.tools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fs.walk|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fs.zipfs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
._copy|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
._errors|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
._path|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
._walk|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
._info|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
._subfs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
._tools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
._osfs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
._tempfs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.roundTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
xattr|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.pens.boundsPen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.encodings.StandardEncoding|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.psOperators|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.textTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sympy|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.symfont|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.config|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.xmlWriter|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
xml.parsers.expat|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.tables._c_m_a_p|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.testTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.mtiLib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.ttFont|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.otlLib.optimize.gpos|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.otlLib.optimize|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.intTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.pens.transformPen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.bezierTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
AppKit|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.cu2qu|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.pens.filterPen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
freetype|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
freetype.raw|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
freetype.ft_types|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
freetype.ft_structs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
freetype.ft_enums|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
freetype.ft_errors|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.pens.freetypePen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
uharfbuzz|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.enumTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
PyQt5.QtGui|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.qu2cu|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
Quartz.CoreGraphics|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
reportlab.graphics.shapes|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
reportlab.lib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
reportlab.graphics|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.pens.momentsPen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.cffLib.specializer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.tables._g_l_y_f|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
wx|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.qu2cu|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.pens.qu2cuPen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.cu2qu.benchmark|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.subset.util|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.subset.cff|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.subset.svg|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.varLib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.tables._n_a_m_e|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.unicodedata|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.colorLib.unbuilder|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.subset|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.tables.S_V_G_|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.path|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.shapes|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.arc|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.macCreatorType|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.psOperators|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
Carbon|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
Res  # MacPython < 2.2|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.macRes|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.sstruct|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.ttCollection|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pathops|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.ttVisitor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.varLib.multiVarStore|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.iterTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.woff2|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
zopfli.zlib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.otBase|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.BitmapGlyphMetrics|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.E_B_D_T_|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.tables.C_F_F_|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
._g_v_a_r|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pdb|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.T_S_I_V_|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.varLib.iup|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..ttFont|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.unicode|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.tables.TupleVariation|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.filenames|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.lazyTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.standardGlyphOrder|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.sbixStrike|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
lz4|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
lz4.block|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.DefaultTable|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.otTables|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.tables.otTraverse|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.ttGlyphSet|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.otData|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.otConverters|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.sbixGlyph|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.sfnt|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.tables.DefaultTable|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.reorderGlyphs|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.visitor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
brotlicffi|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
brotli|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttx|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
getopt|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ufoLib.converters|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ufoLib.errors|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ufoLib.filenames|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ufoLib.utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ufoLib.validators|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.annotations|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.etree|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.filesystem|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.plistlib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
unicodedata2|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.tables._f_v_a_r|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.ttLib.tables.ttProgram|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.varLib.merger|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.varLib.mvar|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.designspaceLib.split|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.varLib.stat|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..otlLib.builder|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.cff|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.cffLib.CFFToCFF2|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.unbuild|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.build|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.pens.areaPen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.pens.statisticsPen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.avar.plan|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.misc.dictTools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.cffLib.CFF2ToCFF|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.varLib.instancer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.featureVars|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.interpolatableHelpers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.interpolatableTestContourOrder|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.interpolatableTestStartingPoint|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
glyphsLib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.interpolatablePlot|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
munkres|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
scipy.sparse.csgraph|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.pens.cairoPen|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fontTools.varLib.interpolatableHelpers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
cairo|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
